video_id,video_url,entry_title,live_status,duration_seconds,view_count,saved_json_path,fetched_at
tDEfk02k3zo,https://www.youtube.com/watch?v=tDEfk02k3zo,[99/365] SOURCING 50 BUSINESSES FOR HITTING 50K SUBS!!!,was_live,9360.0,625,data\raw\youtube\kenny-finance-streams\videos\tDEfk02k3zo.json,2026-05-06T02:38:06.455001+00:00
4_Zcgm-LwGc,https://www.youtube.com/watch?v=4_Zcgm-LwGc,[98/365] GREAT DAY IN THE MARKETS. WILL IT LAST?,was_live,11293.0,271,data\raw\youtube\kenny-finance-streams\videos\4_Zcgm-LwGc.json,2026-05-06T02:38:06.455001+00:00
Wnjvc98VxR8,https://www.youtube.com/watch?v=Wnjvc98VxR8,[97/365] HORMUZ RE-OPENS | 2-WEEK CEASEFIRE | MARKETS ARE BACK?,was_live,7413.0,510,data\raw\youtube\kenny-finance-streams\videos\Wnjvc98VxR8.json,2026-05-06T02:38:06.455001+00:00
JJmI9zZVDAM,https://www.youtube.com/watch?v=JJmI9zZVDAM,[96/365] HOW TO FINANCE A BUSINESS ACQUISITION,was_live,5709.0,587,data\raw\youtube\kenny-finance-streams\videos\JJmI9zZVDAM.json,2026-05-06T02:38:06.455001+00:00
Eag04FU5qsg,https://www.youtube.com/watch?v=Eag04FU5qsg,"[95/365] SUNDAY FUNDAY WITH SOURCING, AGENTS & 10-Ks",was_live,8020.0,407,data\raw\youtube\kenny-finance-streams\videos\Eag04FU5qsg.json,2026-05-06T02:38:06.455001+00:00
1-6ngFRp9F4,https://www.youtube.com/watch?v=1-6ngFRp9F4,[94/365] SOURCING BUSINESSES FOR SUBS ON A SATURDAY,was_live,7051.0,344,data\raw\youtube\kenny-finance-streams\videos\1-6ngFRp9F4.json,2026-05-06T02:38:06.455001+00:00
J1cPlSvYtbY,https://www.youtube.com/watch?v=J1cPlSvYtbY,[93/365] GOOD FRIDAY FOR THE FINANCE BROS,was_live,3775.0,160,data\raw\youtube\kenny-finance-streams\videos\J1cPlSvYtbY.json,2026-05-06T02:38:06.455001+00:00
MTovISksVi0,https://www.youtube.com/watch?v=MTovISksVi0,[92/365] PREPPING FOR APRIL EARNINGS SEASON,was_live,7102.0,246,data\raw\youtube\kenny-finance-streams\videos\MTovISksVi0.json,2026-05-06T02:38:06.455001+00:00
dG_vVb9BEjs,https://www.youtube.com/watch?v=dG_vVb9BEjs,[91/365] MAKING A PERSONAL ASSISTANT ON CLAUDE,was_live,5932.0,327,data\raw\youtube\kenny-finance-streams\videos\dG_vVb9BEjs.json,2026-05-06T02:38:06.455001+00:00
atn8WAbcjxw,https://www.youtube.com/watch?v=atn8WAbcjxw,[90/365] IS THE WAR OVER? MARKETS BACK? | 1Q OF CHAT CAPITAL STREAMS COMPLETE!,was_live,7767.0,154,data\raw\youtube\kenny-finance-streams\videos\atn8WAbcjxw.json,2026-05-06T02:38:06.455001+00:00
YKPADht0BOs,https://www.youtube.com/watch?v=YKPADht0BOs,[89/365] DUMPSTER DIVING IN MARKET SELLOFF,was_live,7666.0,238,data\raw\youtube\kenny-finance-streams\videos\YKPADht0BOs.json,2026-05-06T02:38:06.455001+00:00
-5-80f9PSTM,https://www.youtube.com/watch?v=-5-80f9PSTM,[88/365] SUNDAY FUNDAY AND PREPPING FOR A BUSY WEEK!,was_live,11479.0,166,data\raw\youtube\kenny-finance-streams\videos\-5-80f9PSTM.json,2026-05-06T02:38:06.455001+00:00
RuweI3-zoe8,https://www.youtube.com/watch?v=RuweI3-zoe8,[87/365] SOURCING SUBS A BUSINESS ON A SATURDAY,was_live,8489.0,332,data\raw\youtube\kenny-finance-streams\videos\RuweI3-zoe8.json,2026-05-06T02:38:06.455001+00:00
hvroD62hP0k,https://www.youtube.com/watch?v=hvroD62hP0k,[86/365] BUILDING AI SOURCING AGENT FOR PRIVATE EQUITY,was_live,9056.0,302,data\raw\youtube\kenny-finance-streams\videos\hvroD62hP0k.json,2026-05-06T02:38:06.455001+00:00
