channel_name,channel_slug,video_id,entry_title,video_url,live_status,duration_seconds,view_count,source_tab,fetched_at,workflow_status,transcript_status,needs_review,transcript_provider,transcript_artifact_path,transcript_requested_at,transcript_completed_at,transcript_error,json_path
Kenny Finance,kenny-finance-streams,3bkXiBs2b-Y,[73/365] SOURCING ACQUISITIONS ON A SATURDAY,https://www.youtube.com/watch?v=3bkXiBs2b-Y,was_live,6090.0,326,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/3bkXiBs2b-Y.json,2026-05-06T03:06:23.509280+00:00,2026-05-06T03:06:26.648576+00:00,,data/raw/youtube/kenny-finance-streams/videos/3bkXiBs2b-Y.json
Kenny Finance,kenny-finance-streams,3g5GlrSi6rk,🔴LIVE! CES RECAP + NEW INVESTMENT IDEAS!,https://www.youtube.com/watch?v=3g5GlrSi6rk,was_live,9383.0,164,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/3g5GlrSi6rk.json,2026-05-06T03:06:26.649024+00:00,2026-05-06T03:06:29.816016+00:00,,data/raw/youtube/kenny-finance-streams/videos/3g5GlrSi6rk.json
Kenny Finance,kenny-finance-streams,4_Zcgm-LwGc,[98/365] GREAT DAY IN THE MARKETS. WILL IT LAST?,https://www.youtube.com/watch?v=4_Zcgm-LwGc,was_live,11293.0,271,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/4_Zcgm-LwGc.json,2026-05-06T03:06:36.106625+00:00,2026-05-06T03:06:40.188806+00:00,,data/raw/youtube/kenny-finance-streams/videos/4_Zcgm-LwGc.json
Kenny Finance,kenny-finance-streams,4ySQ_weCsQo,[70/365] BUDGETING ON WEALTHY WEDNESDAYS,https://www.youtube.com/watch?v=4ySQ_weCsQo,was_live,8590.0,238,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/4ySQ_weCsQo.json,2026-05-06T03:06:40.189750+00:00,2026-05-06T03:06:43.868165+00:00,,data/raw/youtube/kenny-finance-streams/videos/4ySQ_weCsQo.json
Kenny Finance,kenny-finance-streams,54FZed5Q2hk,[61/365] AI VALUE CHAIN DEEP DIVE - OPTICS & PHOTONICS,https://www.youtube.com/watch?v=54FZed5Q2hk,was_live,8651.0,316,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/54FZed5Q2hk.json,2026-05-06T03:06:43.869320+00:00,2026-05-06T03:06:46.315640+00:00,,data/raw/youtube/kenny-finance-streams/videos/54FZed5Q2hk.json
Kenny Finance,kenny-finance-streams,5J3wIhNDdjQ,🔴LIVE! MARKET MONDAYS (INVESTING CHAT CAPITAL),https://www.youtube.com/watch?v=5J3wIhNDdjQ,was_live,6547.0,151,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/5J3wIhNDdjQ.json,2026-05-06T03:06:48.279300+00:00,2026-05-06T03:06:50.900226+00:00,,data/raw/youtube/kenny-finance-streams/videos/5J3wIhNDdjQ.json
Kenny Finance,kenny-finance-streams,5cwxVbBwAKo,[109/365] STOCK PITCH COMPETITION!,https://www.youtube.com/watch?v=5cwxVbBwAKo,was_live,5243.0,178,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/5cwxVbBwAKo.json,2026-05-06T03:06:46.316058+00:00,2026-05-06T03:06:48.278216+00:00,,data/raw/youtube/kenny-finance-streams/videos/5cwxVbBwAKo.json
Kenny Finance,kenny-finance-streams,7nAH2pnqbhs,🔴LIVE! WE IN VEGAS - DAY 1 CES (LATE NIGHT),https://www.youtube.com/watch?v=7nAH2pnqbhs,was_live,2768.0,133,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/7nAH2pnqbhs.json,2026-05-06T03:06:50.900226+00:00,2026-05-06T03:06:54.412294+00:00,,data/raw/youtube/kenny-finance-streams/videos/7nAH2pnqbhs.json
Kenny Finance,kenny-finance-streams,8OgNOXPd668,[68/365] MARKET MONDAYS WITH CHAT CAPITAL,https://www.youtube.com/watch?v=8OgNOXPd668,was_live,6017.0,258,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/8OgNOXPd668.json,2026-05-06T03:07:00.128235+00:00,2026-05-06T03:07:04.331051+00:00,,data/raw/youtube/kenny-finance-streams/videos/8OgNOXPd668.json
Kenny Finance,kenny-finance-streams,8PU5udTkyv0,[52/365] SOURCING BUSINESS SATURDAYS,https://www.youtube.com/watch?v=8PU5udTkyv0,was_live,42900.0,642,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/8PU5udTkyv0.json,2026-05-06T03:07:04.331385+00:00,2026-05-06T03:07:07.903975+00:00,,data/raw/youtube/kenny-finance-streams/videos/8PU5udTkyv0.json
Kenny Finance,kenny-finance-streams,8ivVQ6TGgwk,[114/365] HELPING NFL DRAFT PICKS BUDGET THEIR MONEY,https://www.youtube.com/watch?v=8ivVQ6TGgwk,was_live,7717.0,150,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/8ivVQ6TGgwk.json,2026-05-06T03:06:54.412294+00:00,2026-05-06T03:06:57.945785+00:00,,data/raw/youtube/kenny-finance-streams/videos/8ivVQ6TGgwk.json
Kenny Finance,kenny-finance-streams,8mkc9A9IvL4,🔴LIVE! FIRST FINANCE FRIDAY OF 2026,https://www.youtube.com/watch?v=8mkc9A9IvL4,was_live,7985.0,280,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/8mkc9A9IvL4.json,2026-05-06T03:06:57.947177+00:00,2026-05-06T03:07:00.127237+00:00,,data/raw/youtube/kenny-finance-streams/videos/8mkc9A9IvL4.json
Kenny Finance,kenny-finance-streams,9PNVIPMhmI0,[118/365] PREPARING FOR TOMORROW'S EARNINGS SUPERBOWL,https://www.youtube.com/watch?v=9PNVIPMhmI0,was_live,6094.0,153,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/9PNVIPMhmI0.json,2026-05-06T03:07:07.905972+00:00,2026-05-06T03:07:10.186153+00:00,,data/raw/youtube/kenny-finance-streams/videos/9PNVIPMhmI0.json
Kenny Finance,kenny-finance-streams,A03GAlWPLSQ,🔴LIVE AT CES 2026 | DAY 1 (NVIDIA KEYNOTE),https://www.youtube.com/watch?v=A03GAlWPLSQ,was_live,7117.0,895,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/A03GAlWPLSQ.json,2026-05-06T03:07:10.187169+00:00,2026-05-06T03:07:12.895785+00:00,,data/raw/youtube/kenny-finance-streams/videos/A03GAlWPLSQ.json
Kenny Finance,kenny-finance-streams,ANp9pkRUHpw,🔴LIVE! CES 2026 NEXT WEEK (Prep and Schedule),https://www.youtube.com/watch?v=ANp9pkRUHpw,was_live,9232.0,235,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/ANp9pkRUHpw.json,2026-05-06T03:07:14.593652+00:00,2026-05-06T03:07:16.421612+00:00,,data/raw/youtube/kenny-finance-streams/videos/ANp9pkRUHpw.json
Kenny Finance,kenny-finance-streams,BXpEooo3E-M,[64/365] VIBE CODING THURSDAYS,https://www.youtube.com/watch?v=BXpEooo3E-M,was_live,7827.0,169,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/BXpEooo3E-M.json,2026-05-06T03:07:23.753641+00:00,2026-05-06T03:07:25.907105+00:00,,data/raw/youtube/kenny-finance-streams/videos/BXpEooo3E-M.json
Kenny Finance,kenny-finance-streams,BsSRm92sLVo,"[20/365] NETFLIX EARNINGS, JAPAN AND GREENLAND",https://www.youtube.com/watch?v=BsSRm92sLVo,was_live,2440.0,185,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/BsSRm92sLVo.json,2026-05-06T03:07:18.620185+00:00,2026-05-06T03:07:21.722730+00:00,,data/raw/youtube/kenny-finance-streams/videos/BsSRm92sLVo.json
Kenny Finance,kenny-finance-streams,Bvm-wKmUFfo,[82/365] VIBE CODING FOR SMALL BUSINESSES,https://www.youtube.com/watch?v=Bvm-wKmUFfo,was_live,6789.0,297,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/Bvm-wKmUFfo.json,2026-05-06T03:07:21.723781+00:00,2026-05-06T03:07:23.753641+00:00,,data/raw/youtube/kenny-finance-streams/videos/Bvm-wKmUFfo.json
Kenny Finance,kenny-finance-streams,COn5szHwGhg,[17/365] LETTING CHAT PITCH STOCKS TO BUY,https://www.youtube.com/watch?v=COn5szHwGhg,was_live,9706.0,238,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/COn5szHwGhg.json,2026-05-06T03:07:32.435643+00:00,2026-05-06T03:07:35.034224+00:00,,data/raw/youtube/kenny-finance-streams/videos/COn5szHwGhg.json
Kenny Finance,kenny-finance-streams,C_CzBdGXxwg,[35/365] CAN GOOGLE PREVENT THE AI BUBBLE?,https://www.youtube.com/watch?v=C_CzBdGXxwg,was_live,13794.0,205,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/C_CzBdGXxwg.json,2026-05-06T03:07:25.907740+00:00,2026-05-06T03:07:30.477213+00:00,,data/raw/youtube/kenny-finance-streams/videos/C_CzBdGXxwg.json
Kenny Finance,kenny-finance-streams,DlBgX7VvMvU,[111/365] ASKING CLAUDE TO RUN A HEDGE FUND,https://www.youtube.com/watch?v=DlBgX7VvMvU,was_live,5771.0,374,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/DlBgX7VvMvU.json,2026-05-06T03:07:43.934655+00:00,2026-05-06T03:07:51.466439+00:00,,data/raw/youtube/kenny-finance-streams/videos/DlBgX7VvMvU.json
Kenny Finance,kenny-finance-streams,DyUWPY8CXPs,[29/365] APPLE'S EARNINGS TODAY,https://www.youtube.com/watch?v=DyUWPY8CXPs,was_live,13995.0,236,streams,2026-05-06T02:38:06.455001+00:00,transcript_ready,completed,false,supadata,data/transcripts/youtube/kenny-finance-streams/DyUWPY8CXPs.json,2026-05-06T03:07:53.818107+00:00,2026-05-06T03:07:56.698684+00:00,,data/raw/youtube/kenny-finance-streams/videos/DyUWPY8CXPs.json
